filename,sample,plate
7_concat_1-026.fcs,7_concat_1-026.fcs,7
7_concat_1-037.fcs,7_concat_1-037.fcs,7
7_concat_1-044.fcs,7_concat_1-044.fcs,7
7_concat_1-060.fcs,7_concat_1-060.fcs,7
7_concat_1-070.fcs,7_concat_1-070.fcs,7
7_concat_1-084.fcs,7_concat_1-084.fcs,7
7_concat_1-089.fcs,7_concat_1-089.fcs,7
7_concat_1-105.fcs,7_concat_1-105.fcs,7
7_concat_1-145.fcs,7_concat_1-145.fcs,7
7_concat_1-153.fcs,7_concat_1-153.fcs,7
7_concat_1-162.fcs,7_concat_1-162.fcs,7
7_concat_3-038.fcs,7_concat_3-038.fcs,7
7_concat_3-043.fcs,7_concat_3-043.fcs,7
7_concat_5-048.fcs,7_concat_5-048.fcs,7
7_concat_5-049.fcs,7_concat_5-049.fcs,7
7_concat_5-091.fcs,7_concat_5-091.fcs,7
8_concat_1-007.fcs,8_concat_1-007.fcs,8
8_concat_1-016.fcs,8_concat_1-016.fcs,8
8_concat_1-018.fcs,8_concat_1-018.fcs,8
8_concat_1-020-3.fcs,8_concat_1-020-3.fcs,8
8_concat_1-026-4.fcs,8_concat_1-026-4.fcs,8
8_concat_1-028.fcs,8_concat_1-028.fcs,8
8_concat_1-031.fcs,8_concat_1-031.fcs,8
8_concat_1-036-3.fcs,8_concat_1-036-3.fcs,8
8_concat_1-059.fcs,8_concat_1-059.fcs,8
8_concat_1-074.fcs,8_concat_1-074.fcs,8
8_concat_5-010-2.fcs,8_concat_5-010-2.fcs,8
8_concat_5-012-2.fcs,8_concat_5-012-2.fcs,8
8_concat_5-017-2.fcs,8_concat_5-017-2.fcs,8
8_concat_5-030-2.fcs,8_concat_5-030-2.fcs,8
8_concat_5-041-2.fcs,8_concat_5-041-2.fcs,8
8_concat_5-049-2.fcs,8_concat_5-049-2.fcs,8
8_concat_5-075.fcs,8_concat_5-075.fcs,8
8_concat_5-088.fcs,8_concat_5-088.fcs,8
